id,Attribute Count,Attribute Count-rarity,Punk Type,Punk Type-rarity,Skin Tone,Skin Tone-rarity,isPersonOfColor,Full Type,Full Type-rarity,Hair,Hair-rarity,Eyes,Eyes-rarity,Facial Hair,Facial Hair-rarity,Blemishes,Blemishes-rarity,Neck Accessory,Neck Accessory-rarity,Mouth Prop,Mouth Prop-rarity,Mouth,Mouth-rarity,Nose,Nose-rarity,Ears,Ears-rarity
6248,2,2.808988764,Male,1.655903295,Light,3.326679973,0,Male-Light,5.373455132,Messy Hair,21.73913043,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
6249,3,2.221728505,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Straight Hair Dark,67.56756757,Clown Eyes Green,26.17801047,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Purple Lipstick,15.26717557,,1.021659174,,1.326084074
6250,2,2.808988764,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Orange Side,147.0588235,Purple Eye Shadow,38.16793893,,1.539171926,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,,1.326084074
6251,4,7.042253521,Male,1.655903295,Dark,3.541076487,1,Male-Dark,5.803830528,Do-rag,33.33333333,3D Glasses,34.96503497,Mustache,34.72222222,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6252,4,7.042253521,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Top Hat,86.95652174,Big Shades,18.69158879,Goat,33.89830508,,1.098418278,,1.038745196,Pipe,31.54574132,,1.341381623,,1.021659174,,1.326084074
6253,2,2.808988764,Female,2.604166667,Light,3.326679973,0,Female-Light,8.733624454,Straight Hair Dark,67.56756757,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Cigarette,10.40582726,,1.341381623,,1.021659174,,1.326084074
6254,4,7.042253521,Male,1.655903295,Mid,3.299241175,1,Male-Mid,5.385029618,Bandana,20.79002079,Eye Patch,21.69197397,Handlebars,38.02281369,,1.098418278,,1.038745196,,1.208459215,,1.341381623,,1.021659174,Earring,4.066693778
6255,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Pink With Hat,105.2631579,Eye Mask,34.12969283,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Purple Lipstick,15.26717557,,1.021659174,,1.326084074
6256,3,2.221728505,Female,2.604166667,Mid,3.299241175,1,Female-Mid,8.517887564,Blonde Short,77.51937984,,2.545824847,,1.539171926,,1.098418278,,1.038745196,,1.208459215,Hot Lipstick,14.36781609,,1.021659174,Earring,4.066693778
6257,3,2.221728505,Female,2.604166667,Dark,3.541076487,1,Female-Dark,9.082652134,Bandana,20.79002079,,2.545824847,,1.539171926,,1.098418278,,1.038745196,Cigarette,10.40582726,Black Lipstick,16.20745543,,1.021659174,,1.326084074
